imdbId,tvdbId,tmdbId
tt0290709,,195139
tt0251488,90359,25639
tt0088725,65790,128956
tt0017405,54906,50904
tt0223341,57764,147554
tt0141856,237413,244921
tt0028146,119434,130386
tt0023711,72892,173750
tt0066959,56035,185399
tt0392542,164489,220866
tt0020678,45873,48562
tt0000938,50503,163233
tt0056300,43317,53218
tt0004282,35843,53387
tt0050725,63358,104144
tt0222761,104485,190728
tt2095646,,130627
tt0208320,,240321
tt0228724,104437,196073
tt0000384,,119982
tt0025190,49568,51373
tt0419580,,1307283
tt1389333,,985614
tt0029684,59840,130503
tt0142219,,176309
tt0001265,34394,189586
tt0002282,223659,491948
tt0006966,,767402
tt0817204,,941861
tt0449092,31927,91908
tt0005864,215434,95160
tt1970027,,1011097
tt1368151,12113,16604
tt0052987,44364,104141
tt0249600,118954,139589
tt0238059,126436,19444
tt0309369,44313,18413
tt0444673,46790,13431
tt0066178,231271,243346
tt0040673,228755,240455
tt2149702,83737,162547
tt0094864,233646,244703
tt0074482,,243591
tt29133846,,192292
tt0242988,,967945
tt0109766,126577,249077
tt0140356,96245,104840
tt0355600,65085,147819
tt0325638,59913,162657
tt0336732,,1233001
tt0177805,,950700
tt0388350,,1443101
tt0127948,79358,49271
tt0159025,,273297
tt2360048,218184,150804
tt0419551,,1123921
tt0098620,,167662
tt0003355,223718,406419
tt0005414,,132446
tt0196154,172471,407246
tt0196206,,1311299
tt3691638,,453232
tt3326262,46133,254273
tt0335363,161984,162394
tt4968812,,892390
tt0229333,,942361
tt0773111,,937391
tt2369331,104469,170632
tt1645938,,724600
tt0201108,,764376
tt3215172,,985235
tt0492217,,963072
tt0002057,,936672
tt0182912,102457,127992
tt0074966,,243583
tt1545061,,262062
tt9265086,,1248439
tt0050119,218934,165913
tt3178550,70743,220806
tt1821497,63823,232942
tt0222938,,196402
tt11962160,157689,762632
tt0764269,215222,89168
tt0274895,250989,476109
tt0058463,,488590
tt13362258,,880531
tt1268937,212374,49174
tt2474276,,469927
tt0093616,208939,259667
tt3682070,,436404
tt0206307,210193,258249
tt0223122,,1239612
tt6239988,287265,443312
tt0224230,,851941
tt0205744,,257558
tt31491120,,1253462
tt0280994,,162630
tt0373193,,135800
tt1295084,,240825
tt39746699,,1481875
tt0011131,,3017
tt2217767,105803,32062
tt0078503,22976,2186
tt0396959,102101,26753
tt0130445,49307,13795
tt0008133,9845,47653
tt0009018,11467,36208
tt0040763,80464,107881
tt0169173,24006,1386
tt0005571,26353,50775
tt0274518,36461,33380
tt0038059,,240392
tt0034263,,32939
tt0309121,,89672
tt0215817,,49298
tt0101349,74681,54220
tt0012499,39530,44405
tt0043980,100864,103956
tt0000628,97456,132394
tt2028578,166543,84346
tt0004277,59273,53374
tt0036544,42953,97745
tt0059613,75409,34063
tt0014658,,374133
tt0088919,22469,18493
tt0321750,42152,69328
tt0489102,41895,27812
tt0182014,69207,53981
tt0002126,220742,193835
tt0395983,,195635
tt0022462,24727,49836
tt0012570,20261,51362
tt0223084,,212391
tt0002569,55640,132521
tt0223884,90427,190694
tt0227419,,106815
tt0294959,33929,69559
tt0170232,71331,18888
tt0221213,244866,408872
tt0092107,204561,466809
tt0007486,,901342
tt0003509,,941800
tt0067077,,47202
tt0200702,,762304
tt0008401,72850,53723
tt0002639,,139280
tt0002184,,370119
tt0322521,,1102501
tt0401664,,1290490
tt0001460,223618,487459
tt0244303,124671,62526
tt0270291,31473,17699
tt0225434,83135,21714
tt0301300,164769,376730
tt0083975,,351843
tt0123860,70346,32533
tt0000306,,195626
tt1121927,198166,107655
tt0374560,156496,75448
tt1712185,29015,1372658
tt0036268,50068,100823
tt0387522,,107534
tt0007250,,986502
tt0334372,47900,179129
tt0204701,,1209182
tt0133277,,268257
tt1419113,,53268
tt0000576,110850,48600
tt2011110,73965,307732
tt0002007,,931210
tt0419608,,934073
tt2225782,68884,142724
tt0425928,220601,191995
tt2341886,,941219
tt0012008,224655,334784
tt0342438,,941246
tt0172755,,941266
tt0345738,,906402
tt0470335,,942348
tt0366749,,941486
tt0892335,,1125675
tt1862121,,539493
tt0104032,91276,244745
tt5452780,2724,460793
tt3725874,281933,400046
tt4392160,,382003
tt0211193,,257552
tt0045728,90283,145990
tt11194634,144666,660851
tt15340244,,865333
tt15292714,,1233758
tt0065114,,346962
tt0262727,186694,223046
tt0050896,80892,203093
tt2066145,103918,168616
tt0475655,220205,186866
tt0467029,,289221
tt4242904,189396,359170
tt4433416,,1336013
tt33397509,,1360704
tt0097564,15016,45318
tt1522130,178620,22785
tt0000218,102449,114128
tt0082209,82798,90781
tt0306461,212424,49646
tt0011541,14550,23282
tt0020979,44012,50928
tt0113676,38623,17704
tt0013341,33977,81443
tt0000447,32340,44341
tt0012618,104996,175395
tt0025873,26105,50908
tt0080694,98244,31753
tt0004518,36638,53391
tt0013845,74169,176272
tt0166868,,48788
tt0219414,,47233
tt0027693,34758,51377
tt0021755,30837,48756
tt0108498,104552,112620
tt0004550,192855,268252
tt0223725,79194,189600
tt1687221,8976,72660
tt0058242,101536,36893
tt0133962,185516,32072
tt0219316,,49303
tt1612582,181953,119959
tt0331068,90854,13444
tt0200470,,760102
tt0008866,94545,174879
tt0191022,,945030
tt0340117,,940942
tt0191220,,942258
tt0211076,,58956
tt0001808,,1641060
tt0274221,,944843
tt0166859,212323,48786
tt0276048,181824,163046
tt0003969,55644,132541
tt0022632,,550889
tt0035088,52693,100255
tt0912587,138602,112138
tt0248877,,95362
tt0471236,200540,190657
tt1621975,191075,193504
tt0440972,57907,32539
tt0004747,223790,267320
tt0037439,48218,224766
tt1543272,102575,47618
tt0036555,228300,240367
tt0003938,,1137403
tt1019411,,698091
tt0001154,,929490
tt0376300,,934351
tt0326289,219406,174197
tt0434437,,936020
tt0157176,114612,255749
tt0111338,,244877
tt0331501,,937187
tt1056139,,291058
tt0020616,,329649
tt2436908,,233011
tt1849204,200537,147971
tt13189146,,874040
tt0867415,45783,5249
tt0002617,,1006220
tt0200062,242916,286336
tt0001995,,1203010
tt1543748,,854052
tt3838700,84469,289280
tt4107790,,441946
tt0415044,,934048
tt0407947,,76458
tt0378476,125738,322822
tt1949206,215795,102259
tt0006407,223917,676320
tt0239350,247638,342504
tt0246247,,946477
tt0181854,,1428958
tt0067152,,243351
tt0097057,233791,244710
tt0351445,,755965
tt0383553,,1007197
